timestamp,datetime,ax,ay,az,gx,gy,gz,spo2,finger_detected
1759741580.923,2025-10-06 10:06:20.922,0.0547,-0.0068,0.8792,2.3817,-0.2061,-2.5649,,True
1759741581.055,2025-10-06 10:06:21.054,0.052,-0.0103,0.8867,2.5038,-0.2595,-2.8397,,True
1759741581.194,2025-10-06 10:06:21.193,0.0552,-0.0071,0.8809,2.6718,-0.1603,-2.8855,,True
1759741581.325,2025-10-06 10:06:21.325,0.0537,-0.0049,0.885,2.4809,-0.3969,-2.6183,,True
1759741581.458,2025-10-06 10:06:21.457,0.0527,-0.0042,0.8826,2.3206,-0.2137,-2.6565,,True
1759741581.597,2025-10-06 10:06:21.596,0.0574,-0.009,0.8745,2.6031,-0.084,-2.6718,,True
1759741581.728,2025-10-06 10:06:21.728,0.0508,-0.0061,0.8828,2.5878,-0.2748,-2.8702,,True
1759741581.867,2025-10-06 10:06:21.867,0.0503,-0.0059,0.8787,2.313,-0.3588,-2.771,,True
1759741581.999,2025-10-06 10:06:21.998,0.0547,-0.0051,0.8826,2.4427,-0.2061,-2.771,,True
1759741582.13,2025-10-06 10:06:22.129,0.0557,-0.0093,0.8872,2.4198,0.0305,-2.4504,,True
1759741582.261,2025-10-06 10:06:22.260,0.0518,-0.0088,0.8792,2.3817,-0.1221,-2.542,,True
1759741582.392,2025-10-06 10:06:22.391,0.0554,-0.0063,0.8733,2.4504,0.0382,-2.6565,,True
1759741582.523,2025-10-06 10:06:22.523,0.051,-0.0076,0.8818,2.2824,-0.0611,-2.7557,,True
1759741582.654,2025-10-06 10:06:22.653,0.05,-0.0081,0.8801,2.542,-0.2672,-2.5649,,True
1759741582.785,2025-10-06 10:06:22.785,0.054,-0.0068,0.8801,2.3817,-0.1069,-2.5191,,True
1759741582.916,2025-10-06 10:06:22.916,0.0525,-0.0112,0.8857,2.4885,-0.0763,-2.4504,,True
1759741583.048,2025-10-06 10:06:23.047,0.054,-0.0105,0.8779,2.2214,-0.0458,-2.5267,,True
1759741583.187,2025-10-06 10:06:23.187,0.0542,-0.0071,0.8708,2.458,-0.0534,-2.7252,,True
1759741583.319,2025-10-06 10:06:23.318,0.0505,-0.0095,0.8772,2.4733,-0.1145,-2.4046,,True
1759741583.451,2025-10-06 10:06:23.450,0.0515,-0.0066,0.8777,2.5038,0.9313,-2.5038,,True
1759741583.59,2025-10-06 10:06:23.589,0.0525,-0.0056,0.8772,2.3893,-0.229,-2.5191,,True
1759741583.722,2025-10-06 10:06:23.721,0.053,-0.002,0.8782,2.3817,-0.1756,-2.8702,,True
1759741583.854,2025-10-06 10:06:23.853,0.0535,-0.0063,0.8838,2.3817,0.1832,-2.7481,,True
1759741583.993,2025-10-06 10:06:23.992,0.0491,-0.0071,0.8865,2.3282,0.0382,-2.6489,,True
1759741584.125,2025-10-06 10:06:24.124,0.0505,-0.0095,0.8792,2.2366,0.0,-2.7634,,True
1759741584.27,2025-10-06 10:06:24.269,0.053,-0.011,0.876,2.7481,-0.2519,-2.6641,,True
1759741584.406,2025-10-06 10:06:24.406,0.0505,-0.0103,0.8713,2.4809,0.0687,-2.6565,,True
1759741584.538,2025-10-06 10:06:24.538,0.0508,-0.0054,0.8845,2.5573,-0.2748,-2.8244,,True
1759741584.676,2025-10-06 10:06:24.676,0.0537,-0.0076,0.8782,2.4198,0.0458,-2.7481,,True
1759741584.807,2025-10-06 10:06:24.807,0.0518,-0.0068,0.8828,2.5344,-0.313,-2.5802,,True
1759741584.939,2025-10-06 10:06:24.939,0.0549,-0.0081,0.8728,2.5344,-0.0305,-2.5802,,True
1759741585.077,2025-10-06 10:06:25.077,0.0515,-0.0078,0.8835,2.4504,-0.1832,-2.7328,,True
1759741585.208,2025-10-06 10:06:25.208,0.0532,-0.0127,0.8792,2.458,-0.0992,-2.6031,,True
1759741585.347,2025-10-06 10:06:25.347,0.054,-0.0105,0.8833,2.5038,-0.0229,-2.687,,True
1759741585.478,2025-10-06 10:06:25.477,0.0503,-0.0056,0.8811,2.3664,-0.3664,-2.6336,,True
1759741585.607,2025-10-06 10:06:25.607,0.0527,-0.0093,0.8755,2.5191,-0.0534,-2.6947,,True
1759741585.737,2025-10-06 10:06:25.737,0.0498,-0.0071,0.8823,2.2901,-0.3511,-2.6107,,True
1759741585.867,2025-10-06 10:06:25.867,0.0535,-0.0056,0.8796,2.4275,-0.1298,-2.5725,,True
1759741585.997,2025-10-06 10:06:25.997,0.0569,-0.0054,0.8804,2.4275,-0.2061,-2.6183,,True
1759741586.128,2025-10-06 10:06:26.127,0.0474,-0.0073,0.8843,2.4656,-0.4275,-2.5649,,True
1759741586.259,2025-10-06 10:06:26.258,0.0542,-0.0068,0.8855,2.5344,-0.0305,-2.4427,,True
1759741586.398,2025-10-06 10:06:26.397,0.052,-0.0093,0.8828,2.0992,-0.0153,-2.7099,,True
1759741586.53,2025-10-06 10:06:26.529,0.054,-0.0042,0.8835,2.4504,-0.4275,-2.3817,,True
1759741586.668,2025-10-06 10:06:26.667,0.0532,-0.0071,0.8794,2.4656,-0.2748,-2.687,,True
1759741586.798,2025-10-06 10:06:26.797,0.0542,-0.0103,0.875,2.2519,0.6565,-2.771,,True
1759741586.928,2025-10-06 10:06:26.927,0.0564,-0.009,0.8777,2.7557,0.0916,-2.4885,,True
1759741587.06,2025-10-06 10:06:27.059,0.0522,-0.0088,0.8748,2.2977,0.2137,-2.6947,,True
1759741587.198,2025-10-06 10:06:27.197,0.0496,-0.0044,0.8821,2.5649,0.0229,-2.4427,,True
1759741587.328,2025-10-06 10:06:27.327,0.05,-0.0112,0.8782,2.4656,-0.0382,-2.7176,,True
1759741587.466,2025-10-06 10:06:27.466,0.0518,-0.0076,0.8789,2.5115,-1.0305,-2.8092,,True
1759741587.597,2025-10-06 10:06:27.596,0.0554,-0.0083,0.8799,2.4122,1.9389,-2.6641,,True
1759741587.729,2025-10-06 10:06:27.728,0.0525,-0.0071,0.8792,2.4809,-0.8168,-2.6641,,True
1759741587.867,2025-10-06 10:06:27.866,0.0532,-0.0078,0.8821,2.3511,0.0916,-2.6336,,True
1759741587.997,2025-10-06 10:06:27.996,0.0542,-0.0103,0.8762,2.5802,-0.1832,-2.5725,,True
1759741588.129,2025-10-06 10:06:28.129,0.054,-0.0054,0.8853,2.4351,0.0992,-2.7557,,True
1759741588.277,2025-10-06 10:06:28.276,0.0515,-0.0042,0.8784,2.4046,-0.0458,-2.6641,,True
1759741588.406,2025-10-06 10:06:28.405,0.051,-0.0083,0.8806,2.4122,-0.2061,-2.5191,,True
1759741588.536,2025-10-06 10:06:28.535,0.0535,-0.0088,0.8792,2.5725,-0.2977,-2.8321,,True
1759741588.666,2025-10-06 10:06:28.666,0.0537,-0.0054,0.8794,2.2901,0.0305,-2.7863,,True
1759741588.796,2025-10-06 10:06:28.796,0.0564,-0.0095,0.8774,2.4427,-0.1527,-2.6336,,True
1759741588.927,2025-10-06 10:06:28.926,0.0491,-0.0085,0.8809,2.6107,0.4885,-2.3969,,True
1759741589.057,2025-10-06 10:06:29.056,0.0552,-0.0054,0.8689,2.3511,-0.0382,-2.8397,,True
1759741589.195,2025-10-06 10:06:29.195,0.0454,-0.0054,0.8862,2.5878,-1.2977,-2.687,,True
1759741589.326,2025-10-06 10:06:29.326,0.0659,-0.0037,0.8931,-0.0687,-14.1603,-0.6947,,True
1759741589.458,2025-10-06 10:06:29.458,0.0024,0.0178,0.9551,1.6031,2.626,-2.2672,,True
1759741589.597,2025-10-06 10:06:29.597,0.0764,-0.0083,0.8735,2.6183,0.1832,-2.6641,,True
1759741589.728,2025-10-06 10:06:29.728,0.071,-0.0076,0.8821,2.3664,-0.1374,-2.6183,,True
1759741589.867,2025-10-06 10:06:29.867,0.0732,-0.0088,0.8755,2.3588,-0.1679,-3.1221,,True
1759741589.999,2025-10-06 10:06:29.998,0.0713,-0.0059,0.886,2.5344,0.0,-3.9847,,True
1759741590.131,2025-10-06 10:06:30.130,0.0723,-0.0063,0.8865,2.2824,-0.2748,-2.6947,,True
1759741590.28,2025-10-06 10:06:30.279,0.0745,-0.0049,0.8772,2.7405,-0.1069,-2.626,,True
1759741590.412,2025-10-06 10:06:30.412,0.0703,0.0,0.8777,2.5267,-0.4504,-2.6641,,True
