timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,bp_systolic,bp_diastolic,bp_estimated
1757668768.328,2025-09-12 10:19:28.328,0.033,0.0071,0.8921,2.5496,-0.2901,-2.5802,41.75,136.0,99.24465,True,,,False
1757668768.372,2025-09-12 10:19:28.372,0.0376,0.0078,0.8821,2.5802,-0.9389,-2.5038,41.75,136.0,99.24465,True,,,False
1757668768.416,2025-09-12 10:19:28.416,0.0381,0.0103,0.8821,2.4885,0.2672,-2.6947,41.71,136.0,99.24465,True,,,False
1757668768.46,2025-09-12 10:19:28.460,0.0383,0.0073,0.8799,2.5496,-0.5573,-2.8702,41.71,136.0,99.24465,True,,,False
1757668768.504,2025-09-12 10:19:28.504,0.0369,0.0046,0.8804,2.6107,-0.145,-2.5649,41.47,136.0,99.24465,True,,,False
1757668768.549,2025-09-12 10:19:28.548,0.0366,0.0098,0.8789,2.4656,-0.6031,-2.5725,41.75,130.75,99.24465,True,,,False
1757668768.606,2025-09-12 10:19:28.605,0.0378,0.0051,0.8955,2.5267,-0.2443,-2.6183,41.8,125.5,99.24465,True,,,False
1757668768.65,2025-09-12 10:19:28.649,0.0349,0.0071,0.8804,2.2366,-0.5573,-2.7405,41.61,118.25,99.24465,True,,,False
1757668768.694,2025-09-12 10:19:28.693,0.041,0.0056,0.8804,2.6183,-0.313,-2.5878,41.57,113.0,99.24465,True,,,False
1757668768.738,2025-09-12 10:19:28.738,0.0381,0.0117,0.8838,2.542,-0.2137,-2.626,41.8,113.0,99.24465,True,,,False
1757668768.782,2025-09-12 10:19:28.782,0.0403,0.0071,0.8804,2.5344,-0.8702,-2.5954,41.47,113.0,99.24465,True,,,False
1757668768.826,2025-09-12 10:19:28.826,0.0405,0.0078,0.8831,2.3511,-0.4122,-2.7863,41.8,115.0,99.24465,True,,,False
1757668768.884,2025-09-12 10:19:28.883,0.0361,0.0088,0.8796,2.4962,0.0916,-2.8168,41.71,115.0,98.452434,True,,,False
1757668768.943,2025-09-12 10:19:28.942,0.0369,0.0081,0.8738,2.3359,-0.2748,-2.7405,41.61,115.0,98.452434,True,,,False
1757668769.002,2025-09-12 10:19:29.002,0.0334,0.0073,0.8816,2.313,-0.3664,-2.7252,41.71,115.0,98.452434,True,,,False
1757668769.054,2025-09-12 10:19:29.053,0.0332,0.0073,0.8875,2.5267,-0.5267,-2.8779,41.61,115.0,98.452434,True,,,False
1757668769.105,2025-09-12 10:19:29.105,0.0342,0.0066,0.8845,2.4351,0.374,-2.6489,41.71,115.0,98.452434,True,,,False
1757668769.165,2025-09-12 10:19:29.164,0.0364,0.009,0.8889,2.542,-0.2595,-2.6641,41.42,113.0,98.452434,True,,,False
1757668769.224,2025-09-12 10:19:29.224,0.0352,0.0059,0.8821,2.626,-0.7328,-2.6641,41.71,111.0,98.452434,True,,,False
1757668769.284,2025-09-12 10:19:29.284,0.0361,0.0063,0.8892,2.4504,-0.6718,-2.4504,41.57,109.0,98.452434,True,,,False
1757668769.344,2025-09-12 10:19:29.343,0.0347,0.0083,0.8833,2.4351,-0.0992,-2.5649,41.61,107.0,98.452434,True,,,False
1757668769.396,2025-09-12 10:19:29.396,0.0386,0.0098,0.8823,2.771,0.2901,-2.8168,41.75,107.0,98.452434,True,,,False
1757668769.454,2025-09-12 10:19:29.453,0.0376,0.0051,0.8875,2.6565,-0.4504,-2.9695,41.75,103.5,98.452434,True,,,False
1757668769.513,2025-09-12 10:19:29.513,0.0364,0.0085,0.8835,2.3206,0.0534,-2.5649,41.61,97.5,99.345144,True,,,False
1757668769.573,2025-09-12 10:19:29.572,0.0349,0.0078,0.8845,2.4733,-0.2214,-2.7786,41.61,91.5,99.345144,True,,,False
1757668769.624,2025-09-12 10:19:29.624,0.0347,0.0051,0.8833,2.542,-0.3053,-2.4656,41.61,85.5,99.345144,True,,,False
1757668769.684,2025-09-12 10:19:29.683,0.0349,0.0068,0.886,2.374,-0.4046,-2.7023,41.57,81.75,99.712434,True,,,False
1757668769.743,2025-09-12 10:19:29.743,0.0381,0.0078,0.887,2.5267,0.1527,-2.6412,41.61,80.5,99.712434,True,,,False
1757668769.803,2025-09-12 10:19:29.803,0.0347,0.0103,0.8799,2.5649,-0.8244,-2.5267,41.61,79.25,99.712434,True,,,False
1757668769.863,2025-09-12 10:19:29.862,0.0349,0.0103,0.8809,2.4504,-0.0611,-2.5878,41.8,78.0,99.712434,True,,,False
1757668769.923,2025-09-12 10:19:29.922,0.0337,0.0068,0.8826,2.313,-0.5038,-2.4733,41.71,72.25,99.796266,True,,,False
1757668769.982,2025-09-12 10:19:29.981,0.0364,0.0088,0.8875,2.2748,-0.7557,-2.771,41.75,66.5,99.796266,True,,,False
1757668770.042,2025-09-12 10:19:30.041,0.0364,0.0056,0.8823,2.5878,-0.1679,-2.5496,41.8,62.5,98.752554,True,,,False
1757668770.101,2025-09-12 10:19:30.101,0.0361,0.0059,0.8823,2.5802,-0.3588,-2.6489,41.57,58.5,98.752554,True,,,False
1757668770.161,2025-09-12 10:19:30.161,0.0366,0.0083,0.8823,2.5267,-0.687,-2.9237,41.61,60.25,98.752554,True,,,False
1757668770.22,2025-09-12 10:19:30.220,0.0376,0.0127,0.887,2.4504,0.1908,-2.6794,41.57,62.0,98.752554,True,,,False
1757668770.28,2025-09-12 10:19:30.280,0.0347,0.0103,0.8882,2.626,-1.0992,-2.8473,41.57,62.0,98.752554,True,,,False
1757668770.34,2025-09-12 10:19:30.339,0.0374,0.0083,0.887,2.5267,-0.4351,-2.6031,41.71,62.0,98.752554,True,,,False
1757668770.4,2025-09-12 10:19:30.399,0.0344,0.0098,0.886,2.542,-0.1603,-2.8015,41.61,63.5,94.753746,True,,,False
1757668770.459,2025-09-12 10:19:30.459,0.0361,0.0051,0.8872,2.626,-1.0305,-2.8015,41.47,65.0,94.753746,True,,,False
1757668770.519,2025-09-12 10:19:30.519,0.0359,0.0059,0.8867,2.3969,-0.4427,-2.8855,41.57,65.75,96.89147399999999,True,,,False
1757668770.578,2025-09-12 10:19:30.578,0.0366,0.009,0.8865,2.6031,-0.2061,-2.7328,41.57,66.5,96.89147399999999,True,,,False
1757668770.638,2025-09-12 10:19:30.638,0.0342,0.0081,0.8848,2.6641,-0.6183,-2.7786,41.61,66.5,98.452434,True,,,False
